,,,,,,,,,
,2026,2026,2026,2027,2027,2027,2028,2028,2028
Location,Funding US$,Pledges US$,Total,Funding US$,Pledges US$,Total,Funding US$,Pledges US$,Total
Mali,"$24,369,555","$376,879","$24,746,434","$817,213",$0,"$817,213","$782,604",$0,"$782,604"
Mauritania,"$3,553,277",$0,"$3,553,277","$37,112",$0,"$37,112","$12,303",$0,"$12,303"
Mexico,"$4,658,182",$0,"$4,658,182","$252,347",$0,"$252,347","$130,866",$0,"$130,866"
"Moldova, Republic of","$10,395,345","$160,000","$10,555,345","$7,197,030",$0,"$7,197,030","$7,185,630",$0,"$7,185,630"
Monaco,$0,$0,$0,$0,$0,$0,$0,$0,$0
Mongolia,"$29,325",$0,"$29,325",$0,$0,$0,$0,$0,$0
Morocco,"$91,401",$0,"$91,401",$0,$0,$0,$0,$0,$0
Mozambique,"$13,557,036",$0,"$13,557,036","$2,839,649",$0,"$2,839,649","$3,832,335",$0,"$3,832,335"
Myanmar,"$45,777,979","$50,597","$45,828,576","$5,072,228",$0,"$5,072,228","$718,563",$0,"$718,563"
Namibia,"$118,311",$0,"$118,311",$0,$0,$0,$0,$0,$0
Nepal,"$2,151,112",$0,"$2,151,112","$327,741",$0,"$327,741","$338,529",$0,"$338,529"
Netherlands,$0,$0,$0,$0,$0,$0,$0,$0,$0
New Zealand,$0,$0,$0,$0,$0,$0,$0,$0,$0
Nicaragua,"$405,403",$0,"$405,403","$5,980",$0,"$5,980",$0,$0,$0
Niger,"$30,336,509",$0,"$30,336,509","$6,822,026",$0,"$6,822,026","$781,858",$0,"$781,858"
Nigeria,"$35,778,362",$0,"$35,778,362","$5,335,007",$0,"$5,335,007","$1,497,006",$0,"$1,497,006"
Norway,$0,$0,$0,$0,$0,$0,$0,$0,$0
Not specified,"$195,703,111",$0,"$195,703,111","$51,402,610",$0,"$51,402,610","$1,224,691",$0,"$1,224,691"
Occupied Palestinian Territory,"$114,714,690",$0,"$114,714,690","$8,874,156",$0,"$8,874,156","$3,618,398",$0,"$3,618,398"
Pakistan,"$10,611,820",$0,"$10,611,820","$108,286",$0,"$108,286",$0,$0,$0
Panama,"$929,554",$0,"$929,554",$0,$0,$0,$0,$0,$0
Paraguay,$0,$0,$0,$0,$0,$0,$0,$0,$0
Peru,"$6,663,544",$0,"$6,663,544","$1,250,254",$0,"$1,250,254","$950,961",$0,"$950,961"
